0  |  18  |  2  |  18->14->8->0->1  |   (  101  102  103  104  105 )    |   24

1  |  17  |  3  |  17->14->7->6->5  |   (  106  107  108  109  110  111 )    |   25

2  |  23  |  18  |   23->18  |   (  112 )   |   1

4  |  9  |  14  |   9->12->14  |   (  113  114 )   |   9

5  |  20  |  15  |   20->18->15  |   (  115  116 )   |   13

6  |  7  |  22  |   7->8->12->17->22  |   (  117  118  119  120 )   |   14

8  |  14  |  19  |   14->13->19  |   (  121  122 )   |   7

9  |  10  |  21  |  10->11->17->22  |   (  123  124  125  126 )    |   21

12  |  7  |  11  |  7->14->17->11  |   (  127  128  129 )    |   21

15  |  18  |  9  |   18->17->12->9  |   (  130  131  132 )   |   11

17  |  13  |  7  |   13->7  |   (  133 )   |   7

18  |  0  |  15  |  0->9->10->15->0  |   (  134  135  136 )    |   18

28  |  20  |  22  |   20->18->22  |   (  137  138 )   |   8

29  |  18  |  20  |   18->20  |   (  139 )   |   6

31  |  1  |  5  |  1->0->8->7->6  |   (  140  141  142  143  144 )    |   19

34  |  21  |  15  |   21->18->15  |   (  145  146 )   |   8

38  |  14  |  20  |   14->13->19->20  |   (  147  148  149 )   |   9

42  |  11  |  14  |   11->12->14  |   (  150  151 )   |   12

43  |  8  |  9  |  8->9->9  |   (  152 )    |   9

47  |  21  |  18  |   21->18  |   (  153 )   |   1

53  |  12  |  7  |  12->13->7  |   (  154  155 )    |   11

55  |  14  |  19  |   14->13->19  |   (  156  157 )   |   7

59  |  17  |  15  |   17->15  |   (  158 )   |   8

60  |  11  |  21  |   11->17->18->21  |   (  159  160  161 )   |   13

61  |  9  |  0  |   9->0  |   (  162 )   |   5

62  |  22  |  12  |   22->17->12  |   (  163  164 )   |   6

63  |  11  |  17  |   11->17  |   (  165 )   |   7

64  |  11  |  15  |   11->10->15  |   (  166  167 )   |   12

67  |  21  |  17  |   21->18->17  |   (  168  169 )   |   6

72  |  3  |  2  |   3->2  |   (  170 )   |   7

74  |  15  |  21  |   15->18->21  |   (  171  172 )   |   8

80  |  0  |  10  |   0->9->10  |   (  173  174 )   |   12

81  |  7  |  14  |   7->14  |   (  175 )   |   8

83  |  12  |  22  |   12->17->22  |   (  176  177 )   |   6

85  |  12  |  15  |   12->17->15  |   (  178  179 )   |   11

87  |  9  |  15  |   9->10->15  |   (  180  181 )   |   13

95  |  13  |  15  |   13->12->17->15  |   (  182  183  184 )   |   15

98  |  14  |  0  |   14->8->0  |   (  185  186 )   |   10

